Date,Open,High,Low,Close,Volume,MA5,MA10,MA20,Daily_Change,Daily_Return,Day_Range,Day_of_Week,Target_Price,Target_Direction
2023-06-12,1130.0574375493186,1136.311403822295,1125.2641468372988,1134.006103515625,6391969.0,1136.0603515625,1133.426318359375,1127.883319091797,3.9486659663064074,0.0886382028176147,11.047256984996238,0,1150.759521484375,1
2023-06-13,1138.959165682283,1151.946463788879,1134.9647365494957,1150.759521484375,11248016.0,1139.849267578125,1133.4674072265625,1129.413720703125,11.800355802092099,1.4773657669752804,16.981727239383417,1,1164.910888671875,1
2023-06-14,1150.827933567815,1166.3488637759135,1149.0019986007082,1164.910888671875,13277380.0,1144.7520263671875,1137.2083984375,1131.9826538085938,14.08295510405992,1.2297414814561813,17.346865175205266,2,1165.2303466796875,1
2023-06-15,1164.8879084532837,1169.7953042210922,1157.4470010964749,1165.2303466796875,11813494.0,1149.58173828125,1141.284912109375,1134.6873840332032,0.3424382264038286,0.02742338585028925,12.34830312461736,3,1176.574462890625,1
2023-06-16,1168.72265257123,1178.856942021871,1168.72265257123,1176.574462890625,24171579.0,1158.2962646484375,1146.8633178710938,1137.7790161132812,7.851810319395099,0.9735513877803248,10.134289450641063,4,1164.8880615234375,0
2023-06-19,1179.5873088461865,1179.5873088461865,1160.7111839901809,1164.8880615234375,6798554.0,1164.47265625,1150.26650390625,1139.988458251953,-14.699247322748988,-0.9932564181680537,18.876124856005617,0,1167.3074951171875,1
2023-06-20,1162.9480481347905,1170.457299404325,1157.2189687814275,1167.3074951171875,6921096.0,1167.7822509765624,1153.8157592773437,1142.329150390625,4.359446982397003,0.20769665976194673,13.238330622897593,1,1170.5943603515625,1
2023-06-21,1167.2618659292657,1173.1278723617306,1163.1534517577868,1170.5943603515625,6961603.0,1168.9189453125,1156.8354858398438,1145.160577392578,3.3324944222968043,0.2815766409556941,9.974420603943827,2,1157.4471435546875,0
2023-06-22,1166.8053921892115,1174.702723824018,1155.8494202932393,1157.4471435546875,7619166.0,1167.3623046875,1158.472021484375,1147.341485595703,-9.358248634523989,-1.1231231964013988,18.853303530778703,3,1147.974853515625,0
2023-06-23,1154.434209748897,1156.4884770186727,1146.7194478373872,1147.974853515625,6628570.0,1161.6423828125,1159.9693237304687,1147.52978515625,-6.459356233272047,-0.8183777628040678,9.769029181285532,4,1139.210205078125,0
2023-06-26,1144.437098137329,1148.271658359126,1136.0832218598148,1139.210205078125,12641159.0,1156.5068115234376,1160.4897338867188,1146.958026123047,-5.226893059204031,-0.7634878421472924,12.188436499311138,0,1139.62109375,1
2023-06-27,1139.666736088607,1145.578264166708,1135.1474200849475,1139.62109375,9689466.0,1150.96953125,1159.3758911132813,1146.421649169922,-0.045642338606967314,0.036067853855548115,10.430844081760597,1,1154.708251953125,1
2023-06-28,1147.1760589375283,1158.519990797568,1140.2600374666351,1154.708251953125,11354006.0,1147.7923095703125,1158.3556274414063,1147.7820129394531,7.532193015596704,1.323874951584103,18.25995333093283,2,1164.1805419921875,1
2023-06-30,1162.423070452648,1167.1021346662303,1156.511421596289,1164.1805419921875,11151555.0,1149.1389892578125,1158.2506469726563,1149.7677795410157,1.7574715395394378,0.820318900730177,10.59071306994133,4,1194.0582275390625,1
